Country/territory,Bilateral/multilateral agreements,Donations,COVAX,AVAT,Unknown,Total Doses Delivered
Seychelles,(Blank),"126,000","114,660",(Blank),"46,923","287,583"
Sierra Leone,(Blank),"610,000","4,284,510","2,054,400",(Blank),"6,948,910"
Singapore,"301,000",(Blank),"938,400",(Blank),"14,939,765","16,179,165"
Slovakia,"10,975,770","15,000",(Blank),(Blank),(Blank),"10,990,770"
Slovenia,"6,063,190",(Blank),(Blank),(Blank),(Blank),"6,063,190"
Solomon Islands,(Blank),"350,800","406,610",(Blank),(Blank),"757,410"
Somalia,(Blank),"1,140,400","10,420,940",(Blank),(Blank),"11,561,340"
South Africa,"11,020,720",(Blank),"9,269,910",(Blank),"21,197,564","41,488,194"
South Sudan,(Blank),"59,000","3,481,370",(Blank),(Blank),"3,540,370"
Spain,"166,778,709",(Blank),(Blank),(Blank),(Blank),"166,778,709"
Sri Lanka,"18,312,650","3,500,000","5,128,210",(Blank),"17,066,289","44,007,149"
Sudan,(Blank),"450,000","13,110,440","3,076,800",(Blank),"16,637,240"
Suriname,(Blank),"668,200","144,000",(Blank),"3,495","815,695"
Sweden,"36,236,795",(Blank),(Blank),(Blank),(Blank),"36,236,795"
Switzerland,"20,873,895",(Blank),(Blank),(Blank),(Blank),"20,873,895"
Syrian Arab Republic,(Blank),"2,055,000","11,446,140",(Blank),(Blank),"13,501,140"
Taiwan,"34,172,640","24,299,000","1,020,000",(Blank),"9,247,288","68,738,928"
Tajikistan,(Blank),"540,000","12,380,080",(Blank),"4,465,578","17,385,658"
Thailand,"49,781,250","11,029,490",(Blank),(Blank),"96,087,776","156,898,516"
the republic of the Congo,"163,000","400,000","1,882,710","523,200",(Blank),"2,968,910"
Timor-Leste,(Blank),"412,000","554,520",(Blank),"1,096,051","2,062,571"
Togo,(Blank),"867,400","3,977,000","1,651,200",(Blank),"6,495,600"
Tokelau,(Blank),720,(Blank),(Blank),"5,068","5,788"
Tonga,(Blank),"50,600","88,800",(Blank),"86,033","225,433"
Trinidad and Tobago,"1,000,000","944,080","184,800","259,200",(Blank),"2,388,080"
Tunisia,"720,048","7,188,200","5,528,730","1,036,800","2,971,956","17,445,734"
Turkey,"29,500,000",(Blank),(Blank),(Blank),"138,145,910","167,645,910"
Turkmenistan,"1,100,000",(Blank),(Blank),(Blank),"13,822,321","14,922,321"
Turks and Caicos Islands,(Blank),(Blank),(Blank),(Blank),"80,121","80,121"
Tuvalu,(Blank),"7,000","9,600",(Blank),"11,550","28,150"
Uganda,(Blank),"6,589,400","42,249,820","1,413,600",(Blank),"50,252,820"
Ukraine,"38,035,832","3,342,200","9,514,970",(Blank),(Blank),"50,893,002"
United Arab Emirates,"3,200,000",(Blank),(Blank),(Blank),"24,214,261","27,414,261"
United Kingdom of Great Britain and Northern Ireland,"149,658,700",(Blank),"539,370",(Blank),"42,404,728","192,602,798"
United Republic of Tanzania,(Blank),"5,500,000","31,801,870",(Blank),(Blank),"37,301,870"
United States of America,"871,852,135",(Blank),(Blank),(Blank),(Blank),"871,852,135"
Uruguay,"8,285,051","500,000","148,800",(Blank),"682,250","9,616,101"
Uzbekistan,"39,156,863","652,000","21,446,250",(Blank),"10,612,450","71,867,563"
Vanuatu,(Blank),"330,000","141,550",(Blank),(Blank),"471,550"
Venezuela (Bolivarian Republic of),"15,131,000","500,000","16,756,800",(Blank),"14,882,744","47,270,544"
Viet Nam,"30,418,930","39,563,360","69,337,470",(Blank),"146,911,367","286,231,127"
Wallis and Futuna,(Blank),(Blank),(Blank),(Blank),"18,461","18,461"
West Bank and Gaza,"693,000","2,123,700","2,063,450",(Blank),"1,407,450","6,287,600"
Yemen,(Blank),"80,000","2,516,000",(Blank),(Blank),"2,596,000"
Zambia,(Blank),"1,150,000","17,046,040","2,068,800",(Blank),"20,264,840"
Zimbabwe,"8,800,000","2,200,000","3,990,000",(Blank),"21,010","15,011,010"
